出现时间,高关注度时间,政策,地点
2020-01-22,2020-02-06,呼吸机,重庆
2020-01-19,2020-02-02,呼吸机,四川
2020-01-12,2020-02-07,呼吸机,沿海发达地区
2020-01-12,2020-02-02,呼吸机,广东
2020-01-16,2020-02-08,呼吸机,浙江
2020-01-20,2020-02-09,呼吸机,山东
2020-01-13,2020-02-06,呼吸机,北京
2020-01-20,2020-01-29,呼吸机,上海
2020-01-27,2020-02-03,呼吸机,福建
2020-01-20,2020-02-03,呼吸机,江苏
2020-01-15,2020-02-09,呼吸机,普通地区
2020-01-25,2020-02-06,呼吸机,内蒙古
2020-01-15,2020-01-29,呼吸机,黑龙江
2020-01-26,2020-02-16,呼吸机,贵州
2020-01-25,2020-02-01,呼吸机,山西
2020-01-19,2020-02-09,呼吸机,辽宁
2020-01-27,2020-02-03,呼吸机,广西
2020-01-25,2020-01-31,呼吸机,河北
2020-01-20,2020-02-26,呼吸机,天津
2020-01-25,2020-02-21,呼吸机,云南
2020-01-27,2020-02-11,呼吸机,宁夏
2020-01-25,2020-02-17,呼吸机,吉林
2020-01-16,2020-02-24,呼吸机,甘肃
2020-01-15,2020-01-28,呼吸机,边远地区
2020-01-23,2020-01-26,呼吸机,海南
2020-01-26,2020-02-11,呼吸机,新疆
2020-01-18,2020-02-04,呼吸机,青海
2020-01-31,2020-02-11,呼吸机,西藏
2019-12-30,2020-01-26,手套,湖北
2020-01-14,2020-01-30,手套,环鄂地区
2020-01-20,2020-01-30,手套,河南
2020-01-21,2020-01-31,手套,湖南
2020-01-19,2020-01-29,手套,江西
2020-01-15,2020-02-02,手套,陕西
2020-01-18,2020-02-03,手套,安徽
2020-01-20,2020-01-31,手套,重庆
2020-01-18,2020-01-30,手套,四川
2020-01-12,2020-01-30,手套,沿海发达地区
2020-01-16,2020-01-31,手套,广东
2020-01-17,2020-01-30,手套,浙江
2020-01-18,2020-01-28,手套,山东
2020-01-14,2020-02-01,手套,北京
2020-01-13,2020-01-28,手套,上海
2020-01-19,2020-01-28,手套,福建
2020-01-19,2020-01-31,手套,江苏
2020-01-15,2020-01-31,手套,普通地区
2020-01-16,2020-01-31,手套,内蒙古
2020-01-20,2020-02-01,手套,黑龙江
2020-01-23,2020-02-01,手套,贵州
2020-01-19,2020-02-03,手套,山西
2020-01-15,2020-01-31,手套,辽宁
2020-01-20,2020-02-03,手套,广西
2020-01-20,2020-02-02,手套,河北
2020-01-20,2020-02-28,手套,天津
2020-01-23,2020-02-01,手套,云南
2020-01-24,2020-02-01,手套,宁夏
2020-01-23,2020-02-04,手套,吉林
2020-01-18,2020-02-01,手套,甘肃
2020-01-15,2020-01-31,手套,边远地区
2020-01-15,2020-02-01,手套,海南
2020-01-21,2020-01-30,手套,新疆
2020-01-22,2020-01-31,手套,青海
2020-01-22,2020-02-01,手套,西藏
